Date,Day,HighTemp,LowTemp ,Precipitation,QueensboroBridge,Total
4/1,Saturday,46.0,37,0.00,1430,5397
4/2,Sunday,62.1,41,0.00,2862,13033
4/3,Monday,63.0,50,0.03,3689,16325
4/4,Tuesday,51.1,46,1.18,1666,6581
4/5,Wednesday,63.0,46,0.00,4197,17991
4/6,Thursday,48.9,41,0.73,1372,4896
4/7,Friday,48.0,43,0.21,2765,10341
4/8,Saturday,55.9,39.9,0.00,2691,11610
4/9,Sunday,66.0,45,0.00,3261,14899
4/10,Monday,73.9,55,0.00,4731,21295
4/11,Tuesday,80.1,62.1,0.00,5501,24714
4/12,Wednesday,73.9,57.9,0.02,4537,19355
4/13,Thursday,64.0,48.9,0.00,4700,20880
4/14,Friday,64.9,48.9,0.00,4142,18015
4/15,Saturday,64.9,52,0.00,3291,14362
4/16,Sunday,84.9,62.1,0.00,3687,16408
4/17,Monday,73.9,64,0.00,4658,21086
4/18,Tuesday,66.0,50,0.00,5012,22459
4/19,Wednesday,52.0,45,0.02,3996,15827
4/20,Thursday,64.9,50,0.17,3056,12290
4/21,Friday,53.1,48,0.29,2672,10914
4/22,Saturday,55.9,52,0.11,2366,8944
4/23,Sunday,64.9,46.9,0.00,3434,15740
4/24,Monday,60.1,50,0.00,4183,17855
4/25,Tuesday,54.0,50,0.91,1578,5493
4/26,Wednesday,59.0,54,0.34,2369,9819
4/27,Thursday,68.0,59,0.00,4285,18581
4/28,Friday,82.9,57.9,0.00,5138,22787
4/29,Saturday,84.0,64,0.06,4078,19043
4/30,Sunday,64.0,54,0.00,3137,13932